english;turkish;level;part_of_speech;;;;
accompany ;"eþlik etmek, birlikte gitmek; iliþtirmek; birlikte görülmek";B2 ;verb;;;;
accomplish ;baþarmak, üstesinden gelmek;B2 ;verb;;;;
accomplishment ;"baþarý, hüner, ustalýk
baþarma,üstesinden gelme";C1 ;noun;;;;
accordance ;doðrultusunda, uyarýnca;C1 ;noun;;;;
according to ;"-e göre
-e uygun olarak, doðrultusunda";A2 ;preposition;;;;
accordingly ;"ona göre, o doðrultuda
dolayýsýyla";C1 ;adverb;;;;
account ;" (banka) hesap
hesap";B1 ;noun;;;;
account ;hesap vermek;B2 ;verb;;;;
accountability ;sorumluluk;C1 ;noun;;;;
accountable ;sorumlu;C1 ;adjective;;;;
accountant ;Muhasebeci;B2 ;noun;;;;
accumulate ;"toplamak; biriktirmek
birikmek, yýðýlmak";C1 ;verb;;;;
accumulation ;"birikme; yýðýlma";C1 ;noun;;;;
accuracy ;doðruluk, kesinlik;B2 ;noun;;;;
accurate ;doðru, tam;B2 ;adjective;;;;
accurately ;doðru olarak, tam olarak;B2 ;adverb;;;;
accusation ;suçlama;C1 ;noun;;;;
accuse ;suçlamak;B2 ;verb;;;;
accused ; (hukuk/kanun) sanýk;C1 ;noun;;;;
achieve ;"elde etmek
baþarmak, meydana getirmek";A2 ;verb;;;;
achievement ;"baþarý; baþarma ";B1 ;noun;;;;
acid ; (kimya) asit;B2 ;noun;;;;
acid ;asitli;C1 ;adjective;;;;
acknowledge ;"kabul etmek, kabullenmek
(gördüðünü,tanýdýðýný)
belli etmek ";B2 ;verb;;;;
acquire ;edinmek, elde etmek;B2 ;verb;;;;
acquisition ;"edinme
kazanç";C1 ;noun;;;;
acre ;Ýngiliz dönümü, 0,405 hektara eþdeðer arazi ölçüsü;C1 ;noun;;;;
across ;"karþýya, bir uçtan diðer uca
karþý tarafýnda";A1 ;adverb;;;;
across ;karþýya, bir uçtan diðer uca;A1 ;preposition;;;;
act ;"harekete geçmek, hareket etmek
oynamak, rol almak";A2 ;verb;;;;
act ;"hareket, davranýþ
yasa";B1 ;noun;;;;
action ;"hareket, faaliyet, eylem
aksiyon";A1 ;noun;;;;
activate ;harekete geçirmek;B2 ;verb;;;;
active ;"faal, aktif, canlý; etkin";A2 ;adjective;;;;
activist ;"eylemci; aktivist";C1 ;noun;;;;
activity ;"hareketlilik, canlýlýk
aktivite, faaliyet";A1 ;noun;;;;
actor ; (erkek, kadýn) oyuncu, artist;A1 ;noun;;;;
actress ; (kadýn) oyuncu, artist, aktris;A1 ;noun;;;;
actual ;"gerçek; gerçekte";B2 ;adjective;;;;
actually ;gerçekte, gerçekten;A2 ;adverb;;;;
acute ;þiddetli, akut;C1 ;adjective;;;;
ad [advertisement] ;reklam, ilan;B1 ;noun;;;;
adapt ;"uyarlamak; dönüþtürmek
uyum saðlamak";B2 ;verb;;;;
adaptation ;"uyarlama
uyum saðlama";C1 ;noun;;;;
add ;"eklemek, katmak
toplamak";A1 ;verb;;;;
addiction ;baðýmlýlýk, tiryakilik;B2 ;noun;;;;
addition ;toplama;B1 ;noun;;;;
additional ;ek, ilave;B2 ;adjective;;;;
additionally ;ek olarak;B2 ;adverb;;;;
address ;adres;A1 ;noun;;;;
address ;"adres yazmak
hitap etmek";B2 ;verb;;;;
adequate ;yeterli, uygun;B2 ;adjective;;;;
adequately ;yeterince;B2 ;adverb;;;;
adhere ;yapýþmak;C1 ;verb;;;;
adjacent ;bitiþik;C1 ;adjective;;;;
adjust ;"ayarlamak, düzeltmek
uyum saðlamak, alýþmak";B2 ;verb;;;;
adjustment ;ayarlama, düzeltme;C1 ;noun;;;;
administer ;yönetmek, idare etmek;C1 ;verb;;;;
administration ;"yönetim
iktidar, yönetim (ABD)";B2 ;noun;;;;
administrative ;yönetimle ilgili, yönetimsel, idari;C1 ;adjective;;;;
administrator ;yönetici, idareci;C1 ;noun;;;;
admire ;"hayran olmak, çok beðenmek; hayranlýkla seyretmek";B1 ;verb;;;;
admission ;"giriþ izni, giriþ
giriþ ücreti";C1 ;noun;;;;
admit ;kabul etmek, itiraf etmek;B1 ;verb;;;;
adolescent ;ergen;C1 ;noun;;;;
adopt ;"evlat edinmek
benimsemek, uygulamak";B2 ;verb;;;;
adoption ;"evlat, kabul; benimseme";C1 ;noun;;;;
adult ;eriþkin, büyük, yetiþkin;A1 ;noun;;;;
adult ;yetiþkin, eriþkin;A2 ;adjective;;;;
advance ;öncü;B2 ;adjective;;;;
advance ;"ilerleyiþ
avans";B2 ;noun;;;;
advance ;"ilerlemek
ilerletmek, ilerleme kaydetmek";B2 ;verb;;;;
advanced ;"geliþmiþ
ileri";B1 ;adjective;;;;
advantage ;"üstünlük, avantaj
yarar";A2 ;noun;;;;
adventure ;macera, serüven;A2 ;noun;;;;
adverse ;ters, elveriþsiz;C1 ;adjective;;;;
advertise ;reklam yapmak, ilan etmek;A2 ;verb;;;;
advertisement ;reklam, ilan;A2 ;noun;;;;
advertising ;reklamcýlýk, reklam;A2 ;noun;;;;
advice ;öðüt, tavsiye;A1 ;noun;;;;
advise ;"tavsiye etmek
haberdar etmek, bilgi vermek";B1 ;verb;;;;
advocate ;"taraftar, savunucu
avukat";C1 ;noun;;;;
advocate ;desteklemek, taraftar olmak;C1 ;verb;;;;
aesthetic ;estetik;C1 ;adjective;;;;
affair ;"iþler; olaylar
özel mesele, macera";B2 ;noun;;;;
affect ;etkilemek;A2 ;verb;;;;
affection ;sevgi, muhabbet;C1 ;noun;;;;
afford ;gücü yetmek, zamaný, bütçesi vb. el vermek;B1 ;verb;;;;
affordable ; (fiyat) uygun;B2 ;adjective;;;;
afraid ;korkmuþ, korkar;A1 ;adjective;;;;
after ;"sonra
ardýndan, arkasýndan";A1 ;preposition;;;;
after ;sonra;A2 ;adverb;;;;
after ;sonra;A2 ;conjunction;;;;
aftermath ;sonrasý;C1 ;noun;;;;
afternoon ;öðleden sonra;A1 ;noun;;;;
afterwards ;sonradan;B2 ;adverb;;;;
again ;"tekrar, bir daha
yeniden";A1 ;adverb;;;;
against ;" (spor) -e karþý
karþý, aleyhinde";A2 ;preposition;;;;
age ;"yaþ
çað";A1 ;noun;;;;
age ;"yaþlanmak; yaþlandýrmak";B1 ;verb;;;;
aged ;yaþýnda;B1 ;adjective;;;;
agency ;"acenta, ajans
daire (ABD)";B2 ;noun;;;;
agenda ;gündem;B2 ;noun;;;;
agent ;"acenta; temsilci ";B1 ;noun;;;;
aggression ;"saldýrganlýk
saldýrý";C1 ;noun;;;;
aggressive ;saldýrgan;B2 ;adjective;;;;
ago ;önce;A1 ;adverb;;;;
agree ;"ayný fikirde olmak
onaylamak, uygun görmek";A1 ;verb;;;;
agreement ;"anlaþma, sözleþme
onay, rýza";B1 ;noun;;;;
agricultural ;tarýmsal;C1 ;adjective;;;;
agriculture ;tarým;B2 ;noun;;;;
ah ;aa!, ha!;A2 ;exclamation;;;;
ahead ;ileride, ileriye;B1 ;adverb;;;;
aid ;yardým;B2 ;noun;;;;
aid ;yardým etmek;B2 ;verb;;;;
aide ;yardýmcý, muavin;C1 ;noun;;;;
AIDS ;AIDS;B2 ;noun;;;;
aim ;"amaç, gaye
niþan alma";B1 ;noun;;;;
aim ;"amaçlamak, gaye edinmek
hedef almak";B1 ;verb;;;;
air ;"hava
hava yolu";A1 ;noun;;;;
aircraft ;hava taþýtý;B2 ;noun;;;;
airline ;hava yollarý;A2 ;noun;;;;
airport ;havaalaný;A1 ;noun;;;;
alarm ;"panik, telaþ
alarm cihazý";B1 ;noun;;;;
alarm ;ürkütmek, telaþa düþürmek;B2 ;verb;;;;
albeit ;raðmen, ama;C1 ;conjunction;;;;
album ;albüm;B1 ;noun;;;;
alcohol ;alkol;B1 ;noun;;;;
alcoholic ;alkollü;B1 ;adjective;;;;
alert ;uyanýk, tetikte;C1 ;adjective;;;;
alert ;"alarm
temkinli, tetikte";C1 ;noun;;;;
alert ;"uyarmak; (tehlikeyi vb.) haber vermek";C1 ;verb;;;;
alien ;"yabancý, ecnebi
uzaylý, yaratýk";B2 ;noun;;;;
alien ;"alýþýlmadýk, deðiþik
yabancý";C1 ;adjective;;;;
align ;bir hizaya getirmek, hizaya sokmak;C1 ;verb;;;;
alignment ;"sýraya dizme; hizaya koyma
güç birliði";C1 ;noun;;;;
alike ;"benzer; birbirinden farksýz";C1 ;adjective;;;;
alike ;ayný þekilde, eþit;C1 ;adverb;;;;
alive ;sað, canlý;A2 ;adjective;;;;
all ;bütün;A1 ;determiner;;;;
all ;"hepsi
toplam";A1 ;pronoun;;;;
all ;tamamen;A2 ;adverb;;;;
all right ;"iyi, fena deðil
iyi, bir þeyi yok";A2 ;adjective;;;;
all right ;iyi, fena deðil;A2 ;adverb;;;;
all right ;pekâlâ, peki;A2 ;exclamation;;;;
allegation ;iddia;C1 ;noun;;;;
allege ;iddia etmek;C1 ;verb;;;;
allegedly ;sözüm ona, iddia edildiðine göre;C1 ;adverb;;;;
alliance ;ittifak;C1 ;noun;;;;
allocate ;tahsis etmek, ayýrmak;C1 ;verb;;;;
allocation ;"tahsis; tahsisat, ödenek";C1 ;noun;;;;
allow ;"müsaade etmek, izin vermek
imkan vermek
mümkün kýlmak";A2 ;verb;;;;
allowance ;"ödenek, müsaade
izin verilen miktar";C1 ;noun;;;;
ally ;"müttefik, yandaþ
dost";C1 ;noun;;;;
almost ;hemen hemen, neredeyse;A2 ;adverb;;;;
alone ;yalnýz, tek baþýna;A2 ;adjective;;;;
alone ;yalnýz, tek baþýna;A2 ;adverb;;;;
along ;"ileriye doðru, ileri
birlikte";A2 ;adverb;;;;
along ;"boyunca
kenarýnda, üzerinde, yanýnda";A2 ;preposition;;;;
alongside ;"yanýnda, yanýna
birlikte";B2 ;preposition;;;;
already ;"çoktan, zaten, bile
bu kadar, çabuk, þimdiden";A2 ;adverb;;;;
also ;hem de, de, ayný zamanda;A1 ;adverb;;;;
alter ;"deðiþmek; deðiþtirmek, deðiþklik yapmak, tadilat yapmak";B2 ;verb;;;;
alternative ;þýk, seçenek;A2 ;noun;;;;
alternative ;baþka, alternatif;B1 ;adjective;;;;
although ;"-diði halde, -mesine raðmen
ise de, her ne kadar";A2 ;conjunction;;;;
altogether ;"bütünüyle, tamamen
toplam olarak";B2 ;adverb;;;;
aluminium ;alüminyum;C1 ;noun;;;;
always ;"daima; her zaman";A1 ;adverb;;;;
amateur ;"amatör
acemice";C1 ;adjective;;;;
amateur ;"amatör
acemi";C1 ;noun;;;;
amazed ;çok þaþýrmýþ;B1 ;adjective;;;;
amazing ;þaþýlacak, akýl almaz;A1 ;adjective;;;;
ambassador ;büyükelçi;C1 ;noun;;;;
ambition ;"heves
hýrs, tutku";B1 ;noun;;;;
ambitious ;"hýrslý
iddialý";B1 ;adjective;;;;
ambulance ;cankurtaran, ambulans;B2 ;noun;;;;
amend ;deðiþiklik yapmak, düzeltmek;C1 ;verb;;;;
amendment ;"deðiþiklik, düzeltme
yasa deðiþikliði";C1 ;noun;;;;
amid ;ortasýnda, arasýnda;C1 ;preposition;;;;
among ; (ikiden fazla þey söz konusu olduðunda) arasýnda;A2 ;preposition;;;;
amount ;"meblað
miktar";A2 ;noun;;;;
amount ;-e varmak, (yekün) tutmak;B2 ;verb;;;;
amusing ;hoþ, eðlendirici, matrak;B2 ;adjective;;;;
analogy ;kýyas, analoji, benzetme;C1 ;noun;;;;
analyse ;çözümlemek, tahlil etmek, analiz etmek;B1 ;verb;;;;
analysis ;çözümleme, tahlil, analiz;B1 ;noun;;;;
analyst ;analist, yorumcu;B2 ;noun;;;;
ancestor ;ata, cet;B2 ;noun;;;;
anchor ; (gemi) demir, çapa;C1 ;noun;;;;
ancient ;"eski, eskiden kalma
çok yaþlý";A2 ;adjective;;;;
and ;ve;A1 ;conjunction;;;;
angel ;melek;C1 ;noun;;;;
anger ;kýzgýnlýk, öfke;B2 ;noun;;;;
angle ;"açý
eðik";B2 ;noun;;;;
angry ;kýzgýn;A1 ;adjective;;;;
animal ;hayvan;A1 ;noun;;;;
animation ;"coþku, canlýlýk
çizgi film yapýmý, canlandýrma,
animasyon";B2 ;noun;;;;
ankle ;ayak bileði;A2 ;noun;;;;
anniversary ;yýl dönümü;B2 ;noun;;;;
announce ;"bildirmek, ilan etmek
haykýrmak";B1 ;verb;;;;
announcement ;"duyuru
bildirme";B1 ;noun;;;;
annoy ;canýný sýkmak, sinirine dokunmak;B1 ;verb;;;;
annoyed ;kýzgýn, rahatsýz, içerlemiþ;B1 ;adjective;;;;
annoying ;can sýkýcý;B1 ;adjective;;;;
annual ;yýllýk, her yýl yapýlan;B2 ;adjective;;;;
annually ;bir yýlda, yýlda (bir);B2 ;adverb;;;;
anonymous ;"kimliði bilinmeyen
imzasýz, kimliði gizli tutulan";C1 ;adjective;;;;
another ;"bir tane daha
baþka";A1 ;determiner;;;;
another ;"bir tane daha
baþka";A1 ;pronoun;;;;
answer ;"cevap, yanýt
çözüm, çaðrý";A1 ;noun;;;;
answer ;"cevap vermek, yanýtlamak
cevap vermek (telefona)";A1 ;verb;;;;
anticipate ;beklemek, tahmin etmek, ummak;B2 ;verb;;;;
anxiety ;endiþe, kaygý;B2 ;noun;;;;
anxious ;"endiþeli, kaygýlý
istekli, hevesli";B2 ;adjective;;;;
any ;"hiç
herhangi bir";A1 ;determiner;;;;
any ;hiç;A1 ;pronoun;;;;
any ;daha;A2 ;adverb;;;;
any more ;artýk;A2 ;adverb;;;;
anybody ;"kimse, hiç kimse
herkes, herhangi bir kimse";A2 ;pronoun;;;;
anyone [anybody] ;"kimse, hiç kimse
herkes, herhangi bir kimse";A1 ;pronoun;;;;
anything ;"hiçbir þey, bir þey
herhangi bir þey, her þey";A1 ;pronoun;;;;
anyway ;"nasýl olsa, zaten; nasýlsa
yine de";A2 ;adverb;;;;
anywhere ;"hiçbir yerde; hiçbir yere, herhangi bir yerde, herhangi bir yere";A2 ;adverb;;;;
apart ;"ayrý, uzak
daðýlmýþ, daðýnýk, parça parça";B1 ;adverb;;;;
apartment ;apartman dairesi, salon;A1 ;noun;;;;
apologize ;özür dilemek;B1 ;verb;;;;
apology ;"özür; özür dileme, mazeret";B2 ;noun;;;;
app [application] ;"baþvuru, müracaat
uygulama";A2 ;noun;;;;
apparatus ;"teçhizat; aygýt, alet, cihaz";C1 ;noun;;;;
apparent ;"açýk seçik, belli
görünüþteki, sözde";B2 ;adjective;;;;
apparently ;söylentilere bakýlýrsa, anlaþýlan, görünüþe göre;B2 ;adverb;;;;
appeal ;"temyiz baþvurusu
yardým talebi, çaðrý";B2 ;noun;;;;
appeal ;"temyize baþvurmak, bir üst makama baþvurmak
baþvurmak, seslenmek";B2 ;verb;;;;
appealing ;"cazip; çekici
rica dolu yalvaran";C1 ;adjective;;;;
appear ;"gibi gözükmek; gibi görünmek
ortaya çýkmak";A2 ;verb;;;;
appearance ;"dýþ görünüþ
sahneye çýkma, rol alma";A2 ;noun;;;;
appetite ;"iþtah
arzu";C1 ;noun;;;;
applaud ;"alkýþlamak
takdir etmek";C1 ;verb;;;;
apple ;elma;A1 ;noun;;;;
applicable ;"ilgili; … için geçerli";C1 ;adjective;;;;
applicant ;"baþvuru sahibi; aday, müracaatçý";B2 ;noun;;;;
application ;"baþvuru, müracaat
uygulama";B1 ;noun;;;;
apply ;" (yazýlý olarak) baþvurmak
uygulamak, tatbik etmek";A2 ;verb;;;;
appoint ;"atamak
kararlaþtýrmak, saptamak";C1 ;verb;;;;
appointment ;randevu;B1 ;noun;;;;
appreciate ;"deðerini bilmek, -den anlamak
takdir etmek";B1 ;verb;;;;
appreciation ;"deðerini bilme, anlama
takdir, minnet";C1 ;noun;;;;
approach ;"yaklaþým
baþvuru";B2 ;noun;;;;
approach ;yaklaþmak;B2 ;verb;;;;
appropriate ;uygun;B2 ;adjective;;;;
appropriately ;uygun bir þekilde;B2 ;adverb;;;;
approval ;onay, muvafakat;B2 ;noun;;;;
approve ;"beðenmek, uygun bulmak
onaylamak, tasdik etmek";B2 ;verb;;;;
approximately ;yaklaþýk olarak, tahminen;B1 ;adverb;;;;
April ;Nisan;A1 ;noun;;;;
arbitrary ;keyfi, geliþigüzel;C1 ;adjective;;;;
architect ;mimar;A2 ;noun;;;;
architectural ;mimari;C1 ;adjective;;;;
architecture ;mimarlýk;A2 ;noun;;;;
archive ;arþiv;C1 ;noun;;;;
area ;"bölge, alan
alan, dal";A1 ;noun;;;;
arena ;saha, stadyum;C1 ;noun;;;;
arguably ;belki de;C1 ;adverb;;;;
argue ;münakaþa etmek, tartýþmak;A2 ;verb;;;;
argument ;"münakaþa, tartýþma
sav, tez";A2 ;noun;;;;
arise ;ortaya çýkmak, baþ göstermek;B2 ;verb;;;;
arm ;kol;A1 ;noun;;;;
arm ;"silahlanmak; silahlandýrmak";C1 ;verb;;;;
armed ;silahlý;B2 ;adjective;;;;
arms ;silahlar;B2 ;noun;;;;
army ;ordu;A2 ;noun;;;;
around ;"dört yanýn (-e, -de), çevresin (-e, -de); etraf, etraf (-a, -ta)
yakýnlarda, civarda";A1 ;adverb;;;;
around ;"dört yanýn (-e, -de), çevresin (-e, -de); etraf, etraf (-a, -ta)
yaklaþýk, civarýnda";A1 ;preposition;;;;
arrange ;düzenlemek, planlamak, ayarlamak;A2 ;verb;;;;
arrangement ;"düzenleme, ayarlama
anlaþma, sözleþme";A2 ;noun;;;;
array ;düzenleme, sergi;C1 ;noun;;;;
arrest ;tutuklama;B1 ;noun;;;;
arrest ;tutuklamak;B1 ;verb;;;;
arrival ;varýþ, geliþ;B1 ;noun;;;;
arrive ;varmak, ulaþmak, gelmek;A1 ;verb;;;;
arrow ;"ok
ok iþareti";B2 ;noun;;;;
art ;"sanat
hüner, marifet";A1 ;noun;;;;
article ;"madde, nesne, eþya
makale, yazý";A1 ;noun;;;;
articulate ;kendini rahatça ifade edebilmek, açýk seçik konuþmak, tane tane ;C1 ;verb;;;;
artificial ;yapma, yapay;B2 ;adjective;;;;
artist ;sanatçý, ressam;A1 ;noun;;;;
artistic ;"sanat; sanatla ilgili";B2 ;adjective;;;;
artwork ;" (kitap, dergi vb.) çizimler, resimler
sanat eseri";B2 ;noun;;;;
as ;"olarak; gibi 
kadar";A1 ;preposition;;;;
as ;"olarak; gibi
iken";A2 ;adverb;;;;
as ;"olarak; gibi ";A2 ;conjunction;;;;
ash ;kül;C1 ;noun;;;;
ashamed ;mahçup, utanmýþ;B2 ;adjective;;;;
aside ;kenara;B2 ;adverb;;;;
ask ;"sormak
rica etmek, istemek";A1 ;verb;;;;
asleep ;uykuda;A2 ;adjective;;;;
aspect ;yön;B2 ;noun;;;;
aspiration ;heves, emel;C1 ;noun;;;;
aspire ;hevesi olmak, gözü -de olmak;C1 ;verb;;;;
assassination ;suikast;C1 ;noun;;;;
assault ;saldýrý;C1 ;noun;;;;
assault ;saldýrmak;C1 ;verb;;;;
assemble ;"toplanmak; toplamak
kurmak, monte etmek";C1 ;verb;;;;
assembly ;meclis, toplantý;C1 ;noun;;;;
assert ;"beyan etmek, ileri sürmek
göstermek, belli etmek, hissettirmek";C1 ;verb;;;;
assertion ;iddia, sav;C1 ;noun;;;;
assess ;"deðerlendirmek
belirlemek (deðer, miktar)";B2 ;verb;;;;
assessment ;deðerlendirme;B2 ;noun;;;;
asset ;"kazanç
mal varlýðý";B2 ;noun;;;;
assign ;"ayýrmak, tahsis etmek
atamak, görevlendirmek";B2 ;verb;;;;
assignment ;"görev; ödev ";B1 ;noun;;;;
assist ;yardým etmek, yardýmcý olmak;B1 ;verb;;;;
assistance ;yardým, destek;B2 ;noun;;;;
assistant ;müdür yardýmcýsý;A2 ;adjective;;;;
assistant ;asistan, yardýmcý;A2 ;noun;;;;
associate ;"baðdaþtýrmak
arkadaþlýk etmek, görüþmek";B2 ;verb;;;;
association ;"birlik, dernek
ortaklýk, birliktelik";B2 ;noun;;;;
assume ;varsaymak, sanmak;B2 ;verb;;;;
assumption ;varsayým;B2 ;noun;;;;
assurance ;"teminat, garanti
emniyet, güven";C1 ;noun;;;;
assure ;"(birini) temin etmek, (birine) garanti vermek
garanti altýna almak";B2 ;verb;;;;
astonishing ;þaþýrtýcý;B2 ;adjective;;;;
asylum ;sýðýnma hakký;C1 ;noun;;;;
at ; (yer) -de;A1 ;preposition;;;;
athlete ;atlet;A2 ;noun;;;;
atmosphere ;"atmosfer
hava, ortam";B1 ;noun;;;;
atrocity ;gaddarlýk, vahþet;C1 ;noun;;;;
attach ;"iliþtirmek, baðlamak, takmak, tutturmak
katýlmak, katmak";B1 ;verb;;;;
attachment ;"baðlýlýk, düþkünlük
ilave parça";B2 ;noun;;;;
attack ;saldýrý, baskýn, hücum;A2 ;noun;;;;
attack ;saldýrmak, hücum etmek, basmak;A2 ;verb;;;;
attain ;ulaþmak, eriþmek;C1 ;verb;;;;
attempt ;deneme, giriþim, teþebbüs;B2 ;noun;;;;
attempt ;kalkýþmak, yeltenmek, teþebbüs etmek, giriþiminde bulunmak;B2 ;verb;;;;
attend ;"devam etmek, katýlmak
ilgilenmek, bakmak, ele almak";A2 ;verb;;;;
attendance ;"devam
katýlým";C1 ;noun;;;;
attention ;dikkat;A2 ;exclamation;;;;
attention ;"dikkat, ilgi
dikkat etmek";A2 ;noun;;;;
attitude ;tavýr, tutum, görüþ;B1 ;noun;;;;
attorney [lawyer] ;avukat;C1 ;noun;;;;
attract ;cezbetmek, çekici gelmek;B1 ;verb;;;;
attraction ;çekici yön, cazip yan, özellik;B1 ;noun;;;;
attractive ;"güzel, hoþ, alýmlý, yakýþýklý
çekici, cazip";A2 ;adjective;;;;
attribute ;özellik, nitelik;C1 ;noun;;;;
attribute ;atfetmek, mal etmek;C1 ;verb;;;;
auction ;müzayede, açýk artýrma, mezat, ihale;B2 ;noun;;;;
audience ;"seyirci; dinleyici, izleyici";A2 ;noun;;;;
audio ;ses kaydýyla ilgili;B2 ;adjective;;;;
audit ;hesap denetimi, hesap incelemesi;C1 ;noun;;;;
August ;Aðustos;A1 ;noun;;;;
aunt ;"hala; teyze; yenge";A1 ;noun;;;;
authentic ;sahici, hakiki;C1 ;adjective;;;;
author ;yazar;A2 ;noun;;;;
authority ;"yetkili, resmî makam
otorite, nüfuz, etki";B1 ;noun;;;;
authorize ;"yetki vermek; izin vermek, ruhsat vermek";C1 ;verb;;;;
automatic ; (makine) otomatik;B2 ;adjective;;;;
automatically ;"kendiliðinden; otomatik olarak, prosedüre uygun olarak";B2 ;adverb;;;;
autonomy ;özerklik, otonomi;C1 ;noun;;;;
autumn ;sonbahar, güz;A1 ;noun;;;;
availability ;elde bulunma;C1 ;noun;;;;
available ;"mevcut, eriþilebilir, elde bulunan
boþ, müsait";A2 ;adjective;;;;
average ;"ortalama
vasat";A2 ;adjective;;;;
average ;ortalama;A2 ;noun;;;;
average ;"ortalama olarak yapmak; ortalamayý tutturmak
ortalamasýný almak";B1 ;verb;;;;
avoid ;kaçýnmak, uzak durmak, sakýnmak, önüne geçmek;A2 ;verb;;;;
await ;beklemek;C1 ;verb;;;;
award ;ödül;A2 ;noun;;;;
award ;ödül vermek;B1 ;verb;;;;
aware ;farkýnda, bilincinde;B1 ;adjective;;;;
awareness ;bilincinde olma, farkýnda olma;B2 ;noun;;;;
away ;"uzaða, uzakta
deplasmanda";A1 ;adverb;;;;
awful ;"berbat, kötü, feci
müthiþ, korkunç";A2 ;adjective;;;;
awkward ;"sýkýntýlý, gergin, zor
garip";B2 ;adjective;;;;
baby ;"bebek
yavru";A1 ;noun;;;;
back ;geriye, arkaya;A1 ;adverb;;;;
back ;sýrt, arka;A1 ;noun;;;;
back ;arka;A2 ;adjective;;;;
back ;"geri gitmek, geri sürmek
arka çýkmak, desteklemek";B2 ;verb;;;;
backdrop ; (tiyatro) sahne arka perdesi;C1 ;noun;;;;
background ;"yetiþme tarzý, geçmiþ, birikim, ortam
arka plan, fon";A2 ;noun;;;;
backing ;destek, yardým, arka çýkma;C1 ;noun;;;;
backup ;"yardým, destek
yedek, kopya";C1 ;noun;;;;
backwards ;arkaya doðru, geri, arka üstü;B1 ;adverb;;;;
bacteria ;bakteri;B2 ;noun;;;;
bad ;"kötü, tatsýz
zararlý";A1 ;adjective;;;;
badge ;"rozet; arma";B2 ;noun;;;;
badly ;"kötü
aðýr, þiddetli";A2 ;adverb;;;;
bag ;"çanta, torba
valiz";A1 ;noun;;;;
bail ;kefalet;C1 ;noun;;;;
bake ;"fýrýnda piþirmek; piþmek";B1 ;verb;;;;
balance ;denge;B1 ;noun;;;;
balance ;"dengede durmak; dengede tutmak";B1 ;verb;;;;
balanced ;tarafsýz;B2 ;adjective;;;;
ball ;"top
balo";A1 ;noun;;;;
ballet ;bale (sanatý);B2 ;noun;;;;
balloon ;balon;B2 ;noun;;;;
ballot ;"gizli oylama
oy pusulasý";C1 ;noun;;;;
ban ;yasak;B1 ;noun;;;;
ban ;resmen yasaklamak;B1 ;verb;;;;
banana ;muz;A1 ;noun;;;;
band ;"orkestra, bando, müzik topluluðu
bant, þerit";A1 ;noun;;;;
bank ;banka;A1 ;noun;;;;
